name,provincia_provincia_id,deparamento_id
LAISHI,9,241
MATACOS,9,242
RAMON LISTA,9,243
COCHINOCA,10,244
TILCARA,10,245
TUMBAYA,10,246
LEDESMA,10,247
EL CARMEN,10,248
SANTA BARBARA,10,249
SANTA CATALINA,10,250
DOCTOR MANUEL BELGRANO,10,251
VALLE GRANDE,10,252
SUSQUES,10,253
HUMAHUACA,10,254
YAVI,10,255
RINCONADA,10,256
PALPALA,10,257
CURACO,11,258
UTRACAN,11,259
REALICO,11,260
TOAY,11,261
PUELEN,11,262
CONHELO,11,263
RANCUL,11,264
LIMAY MAHUIDA,11,265
QUEMU QUEMU,11,266
CHAPALEUFU,11,267
HUCAL,11,268
CATRILO,11,269
MARACO,11,270
LOVENTUE,11,271
LIHUEL CALEL,11,272
GUATRACHE,11,273
ATREUCO,11,274
CALEU CALEU,11,275
CHICAL CO,11,276
TRENEL,11,277
CHALILEO,11,278
SANAGASTA,12,279
ARAUCO,12,280
CHAMICAL,12,281
GENERAL OCAMPO,12,282
SAN BLAS DE LOS SAUCES,12,283
ROSARIO VERA PEÑALOZA,12,284
CHILECITO,12,285
VINCHINA,12,286
FAMATINA,12,287
GENERAL LAMADRID,12,288
CORONEL FELIPE VARELA,12,289
GENERAL JUAN F QUIROGA,12,290
GENERAL SAN MARTÍN,12,291
CASTRO BARROS,12,292
GENERAL ÁNGEL VERA PEÑALOZA,12,293
MALARGUE,13,294
SAN CARLOS,13,295
SANTA ROSA,13,296
LAS HERAS,13,297
GUAYMALLEN,13,298
GODOY CRUZ,13,299
TUPUNGATO,13,300
LUJAN DE CUYO,13,301
TUNUYAN,13,302
SAN RAFAEL,13,303
SAN PEDRO,14,304
CAINGUAS,14,305
APOSTOLES,14,306
SAN IGNACIO,14,307
OBERA,14,308
CANDELARIA,14,309
ELDORADO,14,310
LEANDRO N. ALEM,14,311
MONTECARLO,14,312
GUARANI,14,313
IGUAZU,14,314
GENERAL MANUEL BELGRANO,14,315
CONFLUENCIA,15,316
CATAN LIL,15,317
LACAR,15,318
CHOS MALAL,15,319
LONCOPUE,15,320
PICUN LEUFU,15,321
COLLON CURA,15,322
AÑELO,15,323
LOS LAGOS,15,324
PEHUENCHES,15,325
ALUMINE,15,326
ÑORQUIN,15,327
PICUNCHES,15,328
ZAPALA,15,329
HUILICHES,15,330
EL CUY,16,331
25 DE MAYO,16,332
VALCHETA,16,333
PILCANIYEU,16,334
ADOLFO ALSINA,16,335
PICHI MAHUIDA,16,336
SAN ANTONIO,16,337
BARILOCHE,16,338
ÑORQUINCO,16,339
CONESA,16,340
LA CALDERA,17,341
SANTA VICTORIA,17,342
METAN,17,343
LA CANDELARIA,17,344
CAFAYATE,17,345
ORAN,17,346
ANTA,17,347
GENERAL JOSE DE SAN MARTÍN,17,348
CHICOANA,17,349
RIVADAVIA,17,350
LA POMA,17,351
