name,departamento,departamento_deparamento_id,muncipio_id
ARRAYANAL,SAN PEDRO,304,1738
ARRECIFES,ARRECIFES,94,1739
ARROYITO,SAN JUSTO,401,1740
ARROYO AGUIAR,LA CAPITAL,402,1741
ARROYO ALGODON,GENERAL SAN MARTIN,182,1742
ARROYO BARU,COLON,2,1743
ARROYO BURGOS,PARANA,229,1744
ARROYO CABRAL,GENERAL SAN MARTIN,182,1745
ARROYO CEIBAL,GENERAL OBLIGADO,397,1746
ARROYO CLE,TALA,234,1747
ARROYO CORRALITO,PARANA,229,1748
ARROYO DEL MEDIO,LEANDRO N. ALEM,311,1749
ARROYO GENA,URUGUAY,231,1750
ARROYO LEYES,LA CAPITAL,402,1751
ARROYO LOS BERROS,VALCHETA,333,1752
ARROYO LOS PATOS,SAN ALBERTO,192,1753
ARROYO SECO,ROSARIO,392,1754
ARROYO VENTANA,VALCHETA,333,1755
ARRUFO,SAN CRISTOBAL,393,1756
ARTEAGA,CASEROS,391,1757
ASSUNTA,JUAREZ CELMAN,191,1758
ATAHONA,SIMOCA,438,1759
ATALIVA,CASTELLANOS,390,1760
ATALIVA ROCA,UTRACAN,259,1761
ATOJ POZO,SAN MARTIN,396,1762
AURELIA,CASTELLANOS,390,1763
AUSONIA,GENERAL SAN MARTIN,182,1764
AVELLANEDA,GENERAL OBLIGADO,397,1765
AVERIAS,GENERAL TABOADA,422,1766
AVIA TERAI,INDEPENDENCIA,140,1767
AYACUCHO,AYACUCHO,377,1768
AZARA,APOSTOLES,306,1769
AZUL,AZUL,63,1770
BAGUAL,GOBERNADOR DUPUY,380,1771
BAHIA BLANCA,BAHÍA BLANCA,89,1772
BAJADA DEL AGRIO,PICUNCHES,328,1773
BAJO CARACOLES,RÍO CHICO,385,1774
BALCARCE,BALCARCE,13,1775
BALDE,JUAN MARTÍN DE PUEYRREDÓN,379,1776
BALLESTEROS,UNION,178,1777
BALLESTEROS SUD,UNION,178,1778
BALNEARIA,SAN JUSTO,401,1779
BANCO PAYAGUA,LAISHI,241,1780
BANDA DEL RIO SALI,CRUZ ALTA,436,1781
BANDERA,BELGRANO,403,1782
BANDERA BAJADA,FIGUEROA,421,1783
BANDERAS,FEDERAL,222,1784
BAÑADO DE SOTO,CRUZ DEL EJE,194,1785
BARADERO,BARADERO,86,1786
BARRANCAS,COCHINOCA,244,1787
BARRANQUERAS,SAN FERNANDO,135,1788
BARRIOS,YAVI,255,1789
BARTOLOME DE LAS CASAS,PATIÑO,236,1790
BASAIL,SAN FERNANDO,135,1791
BASAVILBASO,URUGUAY,231,1792
BATAVIA,GOBERNADOR DUPUY,380,1793
BAUER Y SIGEL,CASTELLANOS,390,1794
BEAZLEY,JUAN MARTÍN DE PUEYRREDÓN,379,1795
BELEN,BELEN,117,1796
BELL VILLE,UNION,178,1797
BELLA ITALIA,CASTELLANOS,390,1798
BELLA VISTA,BELLA VISTA,202,1799
BELTRAN,ROBLES,417,1800
BENGOLEA,JUAREZ CELMAN,191,1801
BENITO JUAREZ,BENITO JUAREZ,3,1802
BENJAMIN ARAOZ  Y EL TAJAMAR,BURRUYACU,443,1803
BENJAMIN GOULD,UNION,178,1804
BERABEVU,CASEROS,391,1805
BERAZATEGUI,BERAZATEGUI,49,1806
BERISSO,BERISSO,76,1807
BERNA,GENERAL OBLIGADO,397,1808
BERNARDO DE IRIGOYEN,SAN JERONIMO,399,1809
BERNARDO LARROUDE,CHAPALEUFU,267,1810
BERNASCONI,HUCAL,268,1811
BERÓN DE ASTRADA,BERON DE ASTRADA,216,1812
BERROTARAN,RIO CUARTO,193,1813
BETBEDER,NOGOYA,228,1814
BIALET MASSE,PUNILLA,186,1815
BIGAND,CASEROS,391,1816
BOLIVAR,BOLIVAR,77,1817
BOMBAL,CONSTITUCION,388,1818
BONPLAND,CANDELARIA,309,1819
BOUQUET,BELGRANO,403,1820
BOUWER,SANTA MARÍA,184,1821
BOVRIL,LA PAZ,221,1822
BRAGADO,BRAGADO,50,1823
BRANDSEN,BRANDSEN,44,1824
BREA POZO,SAN MARTIN,396,1825
BRINKMANN,SAN JUSTO,401,1826
BUCHARDO,GENERAL ROCA,188,1827
BUEN PASTO,SARMIENTO,408,1828
BUENA ESPERANZA,GOBERNADOR DUPUY,380,1829
BUENA VISTA,PILAGAS,240,1830
BULNES,RIO CUARTO,193,1831
BURRUYACU,BURRUYACU,443,1832
BUSTINZA,IRIONDO,389,1833
BUTA RANQUIL,PEHUENCHES,325,1834
CAA CATI,GENERAL PAZ,210,1835
CAA YARI,LEANDRO N. ALEM,311,1836
CABAL,LA CAPITAL,402,1837
CABALANGO,PUNILLA,186,1838
CACHI,CACHI,358,1839
CACIQUE ARIACAIQUIN,SAN JAVIER,398,1840
CAFAYATE,CAFAYATE,345,1841
CAFERATA,GENERAL LOPEZ,395,1842
CAIMANCITO,LEDESMA,247,1843
CALCHAQUI,VERA,400,1844
CALCHIN,RIO SEGUNDO,187,1845
CALCHIN OESTE,RIO SEGUNDO,187,1846
CALETA OLIVIA,DESEADO,382,1847
CALEUFU,RANCUL,264,1848
CALILEGUA,LEDESMA,247,1849
CALINGASTA,CALINGASTA,365,1850
CALMAYO,CALAMUCHITA,179,1851
CAMARONES,FLORENTINO AMEGHINO,156,1852
CAMILO ALDAO,MARCOS JUAREZ,183,1853
