name,municipio,name_id,municipio_id
QUINILICAN,ABRA PAMPA,133,1614
RACHAITE,ABRA PAMPA,134,1614
MIRAFLORES DE LA CANDELARIA,ABRA PAMPA,135,1614
SAN JOSE,ABRA PAMPA,136,1614
ENCRUCIJADA,ABRA PAMPA,137,1614
SANTA ROSA,ABRA PAMPA,138,1614
AGUA CHICA,ABRA PAMPA,139,1614
OJO DE AGUA,ABRA PAMPA,140,1614
AGUA CALIENTE DE LA PUNA,ABRA PAMPA,141,1614
SAYATE,ABRA PAMPA,142,1614
COCHINOCA,ABRA PAMPA,143,1614
ABRA PAMPA,ABRA PAMPA,144,1614
TABLADITAS,ABRA PAMPA,145,1614
DONCELLAS,ABRA PAMPA,146,1614
COCHAGOSTA,ABRALAITE,147,1615
RIO GRANDE,ABRALAITE,148,1615
QUERA,ABRALAITE,149,1615
AGUA DE CASTILLA,ABRALAITE,150,1615
QUEBRALEÑA,ABRALAITE,151,1615
ABRALAITE,ABRALAITE,152,1615
ABRAMO,ABRAMO,153,1616
HUCAL,ABRAMO,154,1616
ACEBAL,ACEBAL,155,1617
LOS ROBLES,ACHERAL,156,1618
SAN JOSE DE FLORES,ACHERAL,157,1618
LA CIENAGA,ACHERAL,158,1618
RINCON DE BALDERRAMA,ACHERAL,159,1618
ACHERAL,ACHERAL,160,1618
ALTO DE LEIVA,ACHERAL,161,1618
ACHIRAS,ACHIRAS,162,1619
ALTO DE LAS JUNTAS,ACONQUIJA,163,1620
ACONQUIJA,ACONQUIJA,164,1620
EL LINDERO,ACONQUIJA,165,1620
LA MESADA,ACONQUIJA,166,1620
LAS PAMPITAS,ACONQUIJA,167,1620
AGUA DE LAS PALOMAS,ACONQUIJA,168,1620
BUENA VISTA,ACONQUIJA,169,1620
EL PUCARA,ACONQUIJA,170,1620
EL ESPINILLO,ACONQUIJA,171,1620
CONDOR HUASI,ACONQUIJA,172,1620
PUNTA DEL AGUA,ACONQUIJA,173,1620
RIO POTRERO,ACONQUIJA,174,1620
EL ALAMITO,ACONQUIJA,175,1620
POZO DEL ARBOLITO,ACOS - POZO DEL ARBOLITO,176,1621
ADELIA MARIA,ADELIA MARIA,177,1622
LA POROTA,ADOLFO ALSINA,178,1623
COLONIA LAPIN,ADOLFO ALSINA,179,1623
DELFIN HUERGO,ADOLFO ALSINA,180,1623
LEUBUCO,ADOLFO ALSINA,181,1623
VILLA MARGARITA,ADOLFO ALSINA,182,1623
LA CONQUISTA,ADOLFO ALSINA,183,1623
LA SAL,ADOLFO ALSINA,184,1623
ESTACION LA CONCEPCION,ADOLFO ALSINA,185,1623
COLONIA SAN MIGUEL ARCANGEL,ADOLFO ALSINA,186,1623
SAN MARCOS,ADOLFO ALSINA,187,1623
ARTURO VATTEONE,ADOLFO ALSINA,188,1623
THAMES,ADOLFO ALSINA,189,1623
COLONIA LEVEN,ADOLFO ALSINA,190,1623
AVESTRUZ,ADOLFO ALSINA,191,1623
MASALLE,ADOLFO ALSINA,192,1623
TRES LAGUNAS,ADOLFO ALSINA,193,1623
LA PALA,ADOLFO ALSINA,194,1623
SANTA ANITA,ADOLFO ALSINA,195,1623
RIVERA,ADOLFO ALSINA,196,1623
CANONIGO GORRITI,ADOLFO ALSINA,197,1623
ESTEBAN AGUSTIN GASCON,ADOLFO ALSINA,198,1623
ARANO,ADOLFO ALSINA,199,1623
ESPARTILLAR,ADOLFO ALSINA,200,1623
CARHUE,ADOLFO ALSINA,201,1623
LAGO EPECUEN,ADOLFO ALSINA,202,1623
YUTUYACO,ADOLFO ALSINA,203,1623
MAZA,ADOLFO ALSINA,204,1623
SAN FRANCISCO,ADOLFO GONZALES CHAVES,205,1624
LA HISPANO ARGENTINA,ADOLFO GONZALES CHAVES,206,1624
EL POLEO,ADOLFO GONZALES CHAVES,207,1624
LOS FACHINALES,ADOLFO GONZALES CHAVES,208,1624
MAULEON,ADOLFO GONZALES CHAVES,209,1624
LA SORTIJA,ADOLFO GONZALES CHAVES,210,1624
JUAN E. BARRA,ADOLFO GONZALES CHAVES,211,1624
LA EMMA,ADOLFO GONZALES CHAVES,212,1624
EL LUCERO,ADOLFO GONZALES CHAVES,213,1624
ALZAGA,ADOLFO GONZALES CHAVES,214,1624
ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES,215,1624
VASQUEZ,ADOLFO GONZALES CHAVES,216,1624
SANTA CLARA,ADOLFO GONZALES CHAVES,217,1624
SANTA MARIA,ADOLFO GONZALES CHAVES,218,1624
CHAPAR,ADOLFO GONZALES CHAVES,219,1624
DE LA GARMA,ADOLFO GONZALES CHAVES,220,1624
ADOLFO VAN PRAET,ADOLFO VAN PRAET,221,1625
AGUA DE ORO,AGUA DE ORO,222,1626
CONDOR HUASI,AGUA DULCE Y LA SOLEDAD,223,1627
TUSCA POZO,AGUA DULCE Y LA SOLEDAD,224,1627
AGUA DULCE,AGUA DULCE Y LA SOLEDAD,225,1627
ESTACION CACHI YACO,AGUA DULCE Y LA SOLEDAD,226,1627
ORAN,AGUA DULCE Y LA SOLEDAD,227,1627
LAGUNA BLANCA,AGUA DULCE Y LA SOLEDAD,228,1627
AGUADA CECILIO,AGUADA CECILIO,229,1628
AGUADA DE GUERRA,AGUADA DE GUERRA,230,1629
BARDA COLORADA,AGUADA GUZMAN,231,1630
LONCO VACA,AGUADA GUZMAN,232,1630
AGUADA GUZMAN,AGUADA GUZMAN,233,1630
CHASICO,AGUADA GUZMAN,234,1630
AGUADA SAN ROQUE,AGUADA SAN ROQUE,235,1631
LA ALICIA,AGUARA GRANDE,236,1632
AGUARA GRANDE,AGUARA GRANDE,237,1632
CAMPO LARGO,AGUARAY,238,1633
EL PAJEAL,AGUARAY,239,1633
PIQUIRENDA,AGUARAY,240,1633
CAPIAZUTI,AGUARAY,241,1633
MACUETA,AGUARAY,242,1633
DIQUE ITIYURO,AGUARAY,243,1633
LA REPRESA,AGUARAY,244,1633
TOBANTIRENDA,AGUARAY,245,1633
SAN FRANCISCO,AGUARAY,246,1633
AGUARAY,AGUARAY,247,1633
TIMBOIRENDA,AGUARAY,248,1633
EL CHILCAR,AGUARAY,249,1633
ACAMBUCO,AGUARAY,250,1633
AGUAS BLANCAS,AGUAS BLANCAS,251,1634
SAN ISIDRO,AGUAS CALIENTES,252,1635
FLEMING,AGUAS CALIENTES,253,1635
AGUAS CALIENTES,AGUAS CALIENTES,254,1635
LAS PICHANAS,AGUAS CALIENTES,255,1635
PILA PARDO,AGUAS CALIENTES,256,1635
LOS RIOS,AGUILARES,257,1636
INGENIO SANTA BARBARA,AGUILARES,258,1636
SANTA ROSA,AGUILARES,259,1636
EL TUSCAL,AGUILARES,260,1636
COLONIA SANTA BARBARA,AGUILARES,261,1636
SAN MIGUEL,AGUILARES,262,1636
AGUILARES,AGUILARES,263,1636
MONTE REDONDO,AGUILARES,264,1636
AGUSTONI,AGUSTONI,265,1637
AHI VEREMOS,AHI VEREMOS,266,1638
AHI VEREMOS,AHI VEREMOS,267,1638
EL BARRERITO,ALBA POSSE,268,1639
SANTA RITA,ALBA POSSE,269,1639
LA UVA,ALBA POSSE,270,1639
SAN FRANCISCO DE ASIS,ALBA POSSE,271,1639
CORONEL PRINGLES,ALBA POSSE,272,1639
BARRA BONITA,ALBA POSSE,273,1639
ALBA POSSE,ALBA POSSE,274,1639
COLONIA ACARAGUA,ALBA POSSE,275,1639
9 DE JULIO,ALBA POSSE,276,1639
OBISPO ZAPATA,ALBARDON,277,1640
LAS PIEDRITAS,ALBARDON,278,1640
EL TOPON,ALBARDON,279,1640
LAS TAPIAS,ALBARDON,280,1640
FINCA EL SALADO,ALBARDON,281,1640
CAMPO AFUERA,ALBARDON,282,1640
EL RINCON,ALBARDON,283,1640
LA CAÑADA,ALBARDON,284,1640
VILLA AMPACAMA,ALBARDON,285,1640
EL SALADO,ALBARDON,286,1640
VILLA GENERAL SAN MARTIN,ALBARDON,287,1640
TIERRA ADENTRO,ALBARDON,288,1640
PUNTA DEL MONTE,ALBARDON - PUNTA DEL MONTE,289,1641
ALBARELLOS,ALBARELLOS,290,1642
VILLA GRISOLIA,ALBERTI,291,1643
PLA,ALBERTI,292,1643
CORONEL SEGUI,ALBERTI,293,1643
LARREA,ALBERTI,294,1643
BAUDRIX,ALBERTI,295,1643
VILLA MARIA,ALBERTI,296,1643
ALBERTI,ALBERTI,297,1643
MECHITA,ALBERTI,298,1643
PRESIDENTE QUINTANA,ALBERTI,299,1643
VILLA ORTIZ,ALBERTI,300,1643
CUARTEL VI,ALBERTI,301,1643
EL RECUERDO,ALBERTI,302,1643
CUARTEL V,ALBERTI,303,1643
COLONIA 25 DE MAYO,ALCARAZ,304,1644
ALCARAZ,ALCARAZ,305,1644
COLONIA 3 DE FEBRERO,ALCARAZ NORTE,306,1645
COLONIA TABOADA,ALCARAZ NORTE,307,1645
CAMPO JOURBET,ALCARAZ NORTE,308,1645
ESTANCIA LOS PARAISOS,ALCARAZ SUR,309,1646
CAMPO PARERA,ALCARAZ SUR,310,1646
ALCIRA,ALCIRA,311,1647
ALCORTA,ALCORTA,312,1648
ALDAO,ALDAO,313,1649
ALDEA APELEG,ALDEA APELEG,314,1650
CAMPO VASALLE,ALDEA ASUNCION,315,1651
ALDEA ASUNCION,ALDEA ASUNCION,316,1651
DISTRITO JACINTA,ALDEA ASUNCION,317,1651
ALDEA BELEIRO,ALDEA BELEIRO,318,1652
